Country Name+A1:AK40;Country Code;Variable;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Algeria;DZA;Fertility rate, total (births per woman);7,503;7,564;7,607;7,649;7,673;7,679;7,672;7,667;7,655;7,653;7,635;7,6;7,546;7,491;7,44;7,373;7,306;7,23;7,14;7,059;6,952;6,808;6,635;6,436;6,219;5,975;5,625;5,327;5,059;4,826;4,556;4,386;4,257;4,059;3,846;3,456;3,136;2,897;2,712;2,624;2,566;2,507;2,456;2,481;2,512;2,555;2,604;2,677;2,753;2,813;2,843;2,88;2,956;2,957;3,004;3,041;3,051;3,05;3,023;2,988;2,942;2,889;2,829;..
Algeria;DZA;Gross savings (% of GDP);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;31,52025583;33,98083715;36,66209983;39,37476941;36,8866273;35,53709011;36,52502863;30,61771284;29,39890661;21,779972;21,34692708;16,97597335;17,49185001;23,97768812;32,25932247;..;..;..;..;..;..;..;..;..;..;..;..;..;50,72330145;53,69066129;55,8066955;56,61939223;47,95155054;51,22469178;49,9884991;48,72145816;46,60919213;44,68161381;39,04742457;39,76616466;39,50714315;40,47078677;38,47101262;33,33708651;38,67407668;44,47338461;41,2259377
Algeria;DZA;Bank deposits to GDP (%);..;..;..;..;8,472102;9,034618;10,95957;15,74481;21,09704;21,98994;20,90337;21,12465;25,51581;23,35939;26,50241;30,47583;35,05826;35,01158;36,90037;33,98301;32,55385;33,10235;43,74326;46,70176;49,82228;52,07476;50,16891;56,21522;58,2298;51,68644;43,92749;33,45822;27,25068;32,59271;29,85962;24,50037;21,78938;23,91127;28,57152;28,67068;26,14624;40,59793;45,39818;45,21692;42,39005;37,78471;40,9648;46,19802;44,71291;48,66047;44,98983;43,06861;41,27208;43,42392;49,44395;49,87261;46,48419;48,7765;49,58972;48,01913;53,93711;51,51547;53,93711;51,51547
Algeria;DZA;Literacy rate, youth total (% of people ages 15-24);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;74,32727051;..;..;..;..;..;..;..;..;..;..;..;..;..;..;90,13720703;..;..;..;91,7796402;..;93,76732635;..;..;..;..;..;..;..;..;..;97,4265213;74,02999878;..;..;..;..
Algeria;DZA;Literacy rate, adult total (% of people ages 15 and above);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;49,63087845;..;..;..;..;..;..;..;..;..;..;..;..;..;..;69,87349701;..;..;..;72,64868164;..;75,13604736;..;..;..;..;..;..;..;..;..;81,40783691;..;..;..;..;..
Algeria;DZA;School enrollment, secondary (% net);..;..;..;..;..;..;..;..;..;..;..;9,76547;..;..;..;..;..;..;..;..;..;..;..;..;38,9646;..;..;..;..;..;..;..;..;..;..;52,54394;53,0662;52,9321;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Algeria;DZA;School enrollment, secondary (% gross);..;..;..;..;..;..;..;..;..;..;..;12,08679962;12,62732983;14,03100014;15,14511967;16,30534935;18,94232941;22,40102959;26,15336037;28,65877914;30,52704048;32,45178986;35,22397995;38,31032181;41,54367065;44,67084122;48,99097061;51,51517105;52,83295059;60,25471115;60,45378876;59,50447083;59,60987854;59,80797958;60,71780014;60,08446884;59,72066116;59,12036896;..;65,09715271;64,91104889;69,07556915;72,8870697;75,75093842;79,90052795;82,03775024;83,60420227;73,5201416;80,21128082;96,51100922;100,7091217;103,1164703;..;..;..;..;..;..;..;..;..;..;105,9325485;102,7021484
Algeria;DZA;Price of electricity (US cents per kWh);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2,7;2,7;3;2,6;2,2;2,1;..;..;..;..
Algeria;DZA;Electric power consumption (kWh per capita);..;..;..;..;..;..;..;..;..;..;..;141,1028888;151,2491769;168,6677191;181,8709506;206,6813137;227,8716617;239,2292557;286,4005939;322,8934956;338,8052688;372,3253103;415,2480068;425,971991;448,9207718;472,7802338;489,9365906;459,0415347;485,8718498;526,6878127;536,6000585;537,9219064;565,6433606;553,6235638;556,4304206;565,4184831;576,0638551;580,9126744;624,0336568;658,7670639;689,2367578;714,7851262;736,1335584;791,523977;808,6081082;895,8423919;867,7413064;899,1041533;951,7034508;869,7001881;1020,070535;1126,957018;1242,063895;1283,610433;1368,621519;..;..;..;..;..;..;..;..;..
Algeria;DZA;Electricity production (kWh);..;..;..;..;..;..;..;..;..;..;..;2230000000;2440000000;2810000000;3070000000;3630000000;4240000000;4640000000;5480000000;6430000000;7120000000;8140000000;9400000000;10200000000;11200000000;12300000000;13000000000;12700000000;14000000000;15300000000;16100000000;17300000000;18300000000;19400000000;19900000000;19700000000;20700000000;21500000000;23300000000;24800000000;25400000000;26600000000;27600000000;29600000000;31300000000;33900000000;35200000000;37200000000;40200000000;38200000000;45600000000;5,12E+10;5,74E+10;5,99E+10;6,42E+10;6,88E+10;..;..;..;..;..;..;..;..
